5K,50K,500K,5M
0.0,3.4836126417236566E-5,1.1157922424855482E-4,1.009877428577285E-5
0.0,3.619681477416061E-4,2.3340884310056806E-4,1.897494917033248E-4
0.0,7.561045182666311E-4,0.0013124253173028015,0.0012114894982579274
0.0,5.892034764760865E-4,0.0019124877991364192,3.4409788627794445E-4
0.0,0.0011496850149640863,7.353411959000198E-4,0.0015036648466639955
0.0,5.342468385652524E-4,4.6750020705266086E-4,2.645089487502114E-4
0.0,0.0015274454105617598,0.0022077052545633317,1.8790904727592115E-4
0.0,3.1473644106637383E-4,3.5530793934701756E-4,2.4845231964489966E-4
0.0,0.001110289345934781,2.707121618597464E-4,8.406541188519919E-4
0.0,0.0015334265879104493,7.189851001982427E-4,0.0018270412200904593
0.0,6.161553039231088E-4,1.6858369399719395E-4,0.0011554811752203906
0.0,5.783934164804756E-4,6.53386880846708E-4,4.2595377576705765E-4
0.0,3.802847500869745E-4,6.177779146091217E-4,3.5950152888071994E-5
0.0,9.375068567841486E-4,4.559743671322217E-4,9.649069352606959E-4
0.0,9.932118430128168E-5,1.9298354304160146E-4,3.232676678927535E-4
0.0,3.044342601312969E-4,2.6315512791810406E-4,1.2391799372951596E-4
0.0,3.058435390004763E-4,5.463080502476484E-5,2.711727444421853E-4
0.0,8.832781889391123E-4,2.504010270811953E-4,0.0010555872864943545
0.0,1.2725389100334543E-4,7.888271254792757E-4,5.979387759448105E-4
0.0,6.29569336245101E-4,2.5804030877897804E-4,0.0018874896931071522
0.0,3.979832754818589E-5,2.2325179562091886E-4,3.7954745841636054E-5
0.0,9.098259156158218E-4,0.0013417523621286776,0.0018456912204032696
0.0,1.281292774788776E-4,5.318316103969441E-4,1.7676795641440954E-4
0.0,7.769642314794071E-5,6.924274379088557E-5,6.653528040126658E-5
0.0,1.778335523423109E-4,5.8915931392895156E-5,1.5087608083260578E-4
0.0,4.1733997582875474E-4,6.903541244504205E-5,4.2329330485249675E-4
0.0,1.8843633399515187E-4,4.796300801943768E-4,2.797682870679245E-5
0.0,1.1387405419458617E-5,1.607475537768751E-4,7.794297714736219E-5
0.0,1.986161763263346E-5,8.595266695708099E-4,3.9888824271868317E-4
0.0,3.6101789720258E-5,5.546494393171964E-6,1.7777195811434483E-5
0.0,8.414619177822011E-5,4.19330485100899E-4,0.0012091790107240446
0.0,7.230718426241252E-4,3.2148352219507804E-4,4.03979672890261E-5
0.0,3.837977044186503E-4,3.058478941959834E-4,3.9985167258253134E-4
0.0,1.193798787624658E-4,5.249603672626192E-4,1.143980424312778E-4
0.0,6.379202595927133E-4,0.0016400720654828943,8.357899083342109E-4
0.0,1.8608658341628942E-4,4.788983133131853E-4,7.419220083226618E-5
0.0,3.168805163052071E-4,6.292299888771959E-4,1.4193445879884782E-4
0.0,8.588030510069856E-4,3.205789794555013E-4,8.351844357305954E-5
0.0,3.7239217277969667E-4,1.1793145206912624E-4,4.2038530194523423E-4
0.0,7.571735879392885E-4,1.530390569950031E-4,8.004316292150727E-4
0.0,4.533320623044105E-4,7.934301186270551E-5,8.124957003146085E-4
0.0,6.143959514772307E-5,6.857638603324747E-5,2.7526980075655354E-4
0.0,5.975164854251319E-4,8.215575548845542E-4,0.0015076414751877165
0.0,6.173023038773446E-5,4.2187795549351837E-4,2.691448464420334E-4
0.0,4.678708403758348E-5,5.121081288965108E-4,3.327494027119755E-4
0.0,7.98971739034736E-4,0.001825124596984411,1.9420209935238586E-4
0.0,1.7465255080789717E-4,0.0013799540786874453,1.5291575578333264E-4
0.0,1.037775271875266E-4,3.899674974719442E-4,5.277449440395658E-4
0.0,1.1601158223789325E-4,5.322494292387459E-4,5.529359281547593E-4
0.0,0.0010172746352205815,0.0015367981032881391,2.2281512883462313E-4
0.0,8.10286877399174E-4,0.0018849333363069587,6.780758978863177E-4
0.0,7.07564989568539E-6,1.1541951075305503E-4,8.498607996511321E-5
0.0,1.1488608665868064E-4,9.414926301125404E-4,3.156442188227154E-4
0.0,2.3207376334648307E-4,4.7051419335476536E-4,0.0010074328831724268
0.0,6.751884762098623E-4,1.9906645136244725E-4,2.4748678155967553E-4
0.0,5.559839915536831E-5,7.011841761955655E-4,5.661361907687829E-4
0.0,9.09936182777184E-5,1.7035495466030258E-4,4.397919683815596E-5
0.0,0.001373453381132702,0.0010840376598237288,0.001264951970793172
0.0,5.00817335704508E-4,4.925993028645978E-4,9.029305538253994E-5
0.0,3.1382572020473043E-4,2.468533471500115E-4,7.229082797042486E-4
0.0,1.79573472701942E-4,3.452538357137823E-4,1.896595483568586E-4
0.0,7.87151471361006E-4,6.941821113271114E-4,4.922098652041226E-4
0.0,1.1205147499684074E-4,5.871181147592611E-4,6.565606844643271E-4
0.0,7.099621064108319E-4,0.0010633873312989337,8.627167298268277E-4
0.0,5.996086267257095E-4,6.431777010149572E-4,0.0013337701402460524
