5K,50K,500K,5M
0.0,0.0,2.0597533144320145E-4,2.282257810674974E-5
0.0,0.0,2.2600229392731288E-4,3.927932645121117E-5
0.0,0.0,2.3761311934226577E-4,1.8793573939097618E-5
0.0,0.0,2.0552049058385598E-5,3.286490930648201E-5
0.0,0.0,2.770469002434989E-5,6.162525121838471E-5
0.0,0.0,1.4693799728727066E-6,8.825561650931312E-5
0.0,0.0,1.6085194713504837E-5,5.984829331369888E-5
0.0,0.0,8.594793697025107E-5,4.1762586988768496E-5
0.0,0.0,1.6600856722980305E-8,1.5005216588361283E-5
0.0,0.0,8.848436709414576E-6,9.964953466303975E-5
0.0,0.0,4.2424969939631573E-7,1.4086816951057723E-5
0.0,0.0,2.009695909273666E-5,5.533281907650026E-5
0.0,0.0,1.8403004422017653E-5,4.127970939865955E-5
0.0,0.0,1.0248667786519227E-5,1.656385039897014E-5
0.0,0.0,7.215325871208459E-6,2.2038608714703197E-5
0.0,0.0,1.1396712759299018E-4,1.905738004618022E-5
0.0,0.0,1.8179777416819568E-4,3.345532812967953E-5
0.0,0.0,9.398096140813746E-5,1.3576911889894705E-5
0.0,0.0,4.786240124339261E-6,2.5052286371745802E-5
0.0,0.0,1.673384269716701E-8,2.302334184651506E-5
0.0,0.0,2.2339366238367965E-5,4.103668693292318E-5
0.0,0.0,1.4251746456882825E-4,7.065654754460624E-6
0.0,0.0,7.525062568164309E-5,5.369131852799112E-6
0.0,0.0,8.971872801320867E-6,5.461722209769691E-5
0.0,0.0,3.763575546866286E-5,1.638624701699413E-4
0.0,0.0,1.4386392783218008E-4,4.182128704097327E-6
0.0,0.0,9.959481391549777E-5,6.546208439400951E-5
0.0,0.0,4.869424230786998E-6,3.539777868521895E-5
0.0,0.0,4.100878757488585E-6,1.2224113407050774E-5
0.0,0.0,9.541679934517606E-6,1.6055655863383653E-6
0.0,0.0,1.3419776554347856E-4,4.150965708754192E-5
0.0,0.0,1.4556040990102435E-4,4.2303610492455516E-5
0.0,0.0,1.0293447778526047E-4,5.585796375419676E-5
0.0,0.0,3.0636167797722026E-7,9.844364262648317E-6
0.0,0.0,1.139487137127861E-4,1.3619686193034342E-4
0.0,0.0,1.0949206876460395E-5,5.949974791151213E-5
0.0,0.0,1.8355049006385263E-7,1.8109225441591375E-5
0.0,0.0,1.2663692061600036E-4,2.9226098264248935E-5
0.0,0.0,8.025285051403498E-5,6.446554700448798E-5
0.0,0.0,3.678031231842444E-5,1.3171453508113967E-4
0.0,0.0,2.114720278304665E-5,2.624964474413351E-5
0.0,0.0,6.946544348841238E-6,3.915854494282207E-6
0.0,0.0,7.46118448338422E-5,1.2677856789798872E-4
0.0,0.0,9.44350878146924E-5,4.220931709909274E-5
0.0,0.0,7.932127907823975E-6,6.296281333953271E-5
0.0,0.0,1.811381834345596E-5,6.489670974528694E-5
0.0,0.0,3.4092544779739812E-6,3.2809950480757486E-5
0.0,0.0,1.6269690057403235E-6,7.066983930427165E-7
0.0,0.0,1.835645521799888E-5,7.39856601211299E-5
0.0,0.0,2.0370499598741798E-5,1.8424104296675793E-5
0.0,0.0,1.620220435027468E-4,3.49110239446835E-5
0.0,0.0,7.999240272285892E-6,4.161982159074426E-5
0.0,0.0,5.792995468495097E-5,9.188270477655978E-5
0.0,0.0,1.8206446803870505E-4,2.0844524989500608E-4
0.0,0.0,1.099824904940813E-4,3.146799167292845E-5
0.0,0.0,4.003427587766979E-6,3.310829767273226E-5
0.0,0.0,3.834401400418045E-7,1.0808717566538597E-5
0.0,0.0,1.1019251220841218E-4,1.1744429602694538E-4
0.0,0.0,3.552041091655172E-5,5.347597829954023E-5
0.0,0.0,4.04880829419408E-6,1.1112162929358615E-5
0.0,0.0,2.010802238182546E-4,1.9809593896321E-5
0.0,0.0,1.9080282520574735E-5,3.3563125661690584E-5
0.0,0.0,8.003430693387514E-6,2.95377303438393E-5
0.0,0.0,1.0262247414966118E-5,1.863807661284692E-5
0.0,0.0,2.598556595367573E-5,5.746273282706861E-5
0.0,0.0,1.1028570421466527E-4,2.4922966733199226E-6
0.0,0.0,6.617256357042389E-9,1.689413272539017E-5
0.0,0.0,3.9994484375758785E-5,1.7702840233073839E-4
0.0,0.0,4.389521544777681E-6,5.8422714138011995E-5
0.0,0.0,3.225873634383555E-8,2.7657616943846595E-5
0.0,0.0,7.451740229887728E-6,1.3033403539224897E-5
0.0,0.0,1.2957076637525397E-6,9.055906744791376E-5
0.0,0.0,9.012466769922702E-5,3.856700677247194E-5
0.0,0.0,2.4325669884026107E-5,3.155375747627342E-5
0.0,0.0,1.3946080601828667E-4,3.88067395237103E-5
0.0,0.0,4.968749964962236E-8,1.8681051516906924E-5
0.0,0.0,4.43477039789813E-5,1.335102469335408E-4
0.0,0.0,1.808260439324077E-5,5.33098080356712E-5
0.0,0.0,2.4552515891863637E-5,2.6053637072463874E-5
0.0,0.0,6.021962498195095E-6,1.0965749629956358E-4
0.0,0.0,5.941136026664393E-7,4.6037598963865864E-5
0.0,0.0,1.3174948593783938E-4,5.466593190073857E-5
0.0,0.0,1.11948165388797E-4,7.888991221896891E-5
0.0,0.0,3.740078813740432E-5,9.515843867396311E-5
0.0,0.0,9.535323493034012E-5,1.2626028311187924E-4
0.0,0.0,1.8381696124093626E-5,1.8779708253882982E-5
0.0,0.0,8.372650015185151E-5,1.1040343359407177E-4
0.0,0.0,1.8361163155228378E-9,4.532545546135441E-6
0.0,0.0,7.362900750633449E-7,9.335570669398851E-7
0.0,0.0,1.6056035981311877E-5,1.6790052551771884E-5
0.0,0.0,1.0752166374954046E-5,5.880131847724034E-5
0.0,0.0,8.422739463512839E-5,1.3969788029506862E-4
0.0,0.0,8.928452297772261E-10,1.2857226574849647E-5
0.0,0.0,1.399096347822934E-4,6.86242830046855E-5
0.0,0.0,7.56583535424606E-7,2.1706008402557065E-7
0.0,0.0,2.0670760953528746E-6,5.984248984460652E-5
0.0,0.0,2.4558846556798746E-5,4.3106030151471376E-6
0.0,0.0,3.400964199748395E-5,4.3482246966087474E-5
0.0,0.0,2.739135566736173E-6,2.9931424489158042E-5
0.0,0.0,1.1401800826619826E-4,4.530510546312289E-5
0.0,0.0,5.502126826525009E-6,7.421543318608151E-6
0.0,0.0,6.003671159216981E-5,1.8155548030301324E-5
0.0,0.0,8.032081349654928E-6,8.777363014825434E-5
0.0,0.0,9.598540558904805E-5,5.39364766051804E-5
0.0,0.0,1.8761962519210445E-5,2.3882730202885373E-5
0.0,0.0,8.01105687429176E-5,1.0499925085282978E-4
0.0,0.0,1.0998818786177131E-4,1.2139359580244682E-4
0.0,0.0,8.157301392546075E-5,6.21917307873198E-5
0.0,0.0,7.001472997690396E-7,2.7757914202977865E-5
0.0,0.0,2.539385745196598E-5,2.096765923246931E-5
0.0,0.0,1.6329747278498365E-8,1.0026858195969955E-5
0.0,0.0,2.446325655193649E-5,6.253783250876177E-6
0.0,0.0,9.383521242483762E-5,4.182108405701176E-5
0.0,0.0,2.0191953148277923E-4,4.261283372335166E-5
