5K,50K,500K,5M
0.0,0.0,3.134654494683491E-5,3.939807202461706E-5
0.0,0.0,3.989192472806902E-5,1.1090492442234533E-5
0.0,0.0,5.1939041409162386E-5,1.2778085929562687E-4
0.0,0.0,1.356944579830637E-4,1.1348078825071208E-5
0.0,0.0,9.827050928545992E-5,7.9351420738626E-6
0.0,0.0,5.2932482652970685E-6,5.336647683663396E-6
0.0,0.0,1.3777395210945584E-5,4.031378125150883E-5
0.0,0.0,4.769353096006737E-6,2.2393526612732985E-5
0.0,0.0,2.558880194343449E-5,5.448999695893019E-5
0.0,0.0,1.183700522946942E-4,6.1902502276981515E-6
0.0,0.0,6.406587616025389E-6,1.26982598086582E-4
0.0,0.0,2.752664767265448E-5,1.1283419789651542E-5
0.0,0.0,4.812305316618875E-7,8.623500566352752E-6
0.0,0.0,8.930588438085886E-7,5.2280542068651556E-5
0.0,0.0,4.222353950157831E-5,1.0063607009876253E-4
0.0,0.0,8.126702645833601E-6,1.5800574097904565E-5
0.0,0.0,1.1879191822565303E-5,2.411926818696956E-5
0.0,0.0,1.5529462651344694E-4,8.995677294721772E-5
0.0,0.0,2.970884272037622E-6,1.4481062795072626E-5
0.0,0.0,1.445284706392795E-6,1.6509704576390105E-5
0.0,0.0,1.7976103186595624E-6,6.525964687520896E-6
0.0,0.0,1.3925513869156197E-4,7.03920424823788E-5
0.0,0.0,2.2564996077512774E-4,6.690573036033809E-6
0.0,0.0,7.433700707421659E-7,2.7904198516851087E-6
0.0,0.0,3.24215326503893E-6,1.485944508849633E-5
0.0,0.0,1.4896589652083268E-5,4.410168127629542E-5
0.0,0.0,5.120857386216587E-5,2.098258530635356E-5
0.0,0.0,5.293204869201147E-5,4.5276675664401434E-5
0.0,0.0,4.7592524372540684E-5,1.988265278720634E-6
0.0,0.0,8.163680693821832E-6,5.121901646007011E-7
0.0,0.0,8.840849933484668E-5,4.8572796604267246E-5
0.0,0.0,8.814988990723447E-6,1.987800664465413E-6
0.0,0.0,5.9035020912405594E-6,4.639713041452424E-6
0.0,0.0,9.066315719280297E-5,6.897359521302715E-5
0.0,0.0,3.553415360529849E-6,6.0279308277624155E-5
0.0,0.0,9.607491750137417E-5,2.6660745930118968E-5
0.0,0.0,7.453058060981867E-5,1.255509402450116E-5
0.0,0.0,3.795851843568859E-5,1.5664176714054985E-4
0.0,0.0,1.1999856001789806E-5,5.583880797969358E-5
0.0,0.0,3.558315373714088E-5,1.2395551731174038E-4
0.0,0.0,6.726290881085234E-7,6.860482211455346E-6
0.0,0.0,8.330188946572536E-5,7.309140803140404E-5
0.0,0.0,1.9572502804687786E-5,6.458870975006186E-5
0.0,0.0,4.176187092664596E-5,5.136165425519087E-5
0.0,0.0,5.437864083995037E-5,5.475354226960913E-5
0.0,0.0,1.5349492925152445E-4,1.693423003328256E-4
0.0,0.0,2.084195398504059E-5,1.5858393925262585E-4
0.0,0.0,6.710922982357404E-5,1.0197958969875259E-4
0.0,0.0,1.5280873998056632E-5,8.136248432007596E-5
0.0,0.0,9.355267634984743E-5,9.50102653260341E-5
0.0,0.0,7.325178107709686E-5,7.988530648641667E-5
0.0,0.0,1.1004922577371455E-4,2.966511313631358E-5
0.0,0.0,2.068887587263196E-5,5.016333864798433E-5
0.0,0.0,6.617422954772244E-5,3.0378474658539232E-6
0.0,0.0,8.373456688932667E-5,1.0903639355235985E-4
0.0,0.0,1.041382203106052E-4,9.772972036511017E-5
0.0,0.0,8.638743418485974E-5,2.3081525953649233E-5
0.0,0.0,1.173628960120315E-5,6.113563923463895E-5
0.0,0.0,5.5495140698947545E-5,1.1660159890309096E-5
0.0,0.0,9.904787022470239E-5,2.0308987032760113E-5
0.0,0.0,1.931680340618294E-5,8.548620005937698E-5
0.0,0.0,2.444794613945869E-6,5.219142004333035E-6
0.0,0.0,8.764038656748143E-7,1.4263151973831784E-6
0.0,0.0,2.035971625579638E-5,2.4696272542126667E-6
0.0,0.0,1.6456291183958797E-5,6.894542532655926E-5
0.0,0.0,5.1083283402064496E-5,2.128227048139424E-4
0.0,0.0,1.7985646508066457E-5,1.0379926015041297E-5
0.0,0.0,5.0690158133536335E-6,1.4015899292711957E-5
0.0,0.0,1.4397036159746205E-5,3.061463963179654E-6
0.0,0.0,9.717996578830545E-6,8.265711393382204E-6
0.0,0.0,1.3168762055844084E-5,3.020824926965607E-7
0.0,0.0,3.675843130278182E-7,2.2631094976285494E-5
0.0,0.0,6.600421571557039E-6,3.941130250225055E-6
0.0,0.0,3.185425783274612E-5,8.687670677864519E-5
0.0,0.0,3.3494504497443456E-5,9.830807315479153E-5
0.0,0.0,5.96711067510135E-5,3.54699661559086E-5
0.0,0.0,9.94754431643879E-5,3.559005980947375E-5
0.0,0.0,1.9235751519839413E-5,5.107294885427879E-5
0.0,0.0,1.5023527753881352E-4,1.987677699540434E-5
0.0,0.0,5.315351756276631E-5,1.417956804585885E-5
0.0,0.0,8.325638598269282E-5,8.30053007896028E-5
0.0,0.0,8.78152918086683E-5,3.452883994817624E-5
0.0,0.0,5.223900256721631E-5,1.1846486310463116E-4
0.0,0.0,2.225334978134049E-7,1.2125263905927474E-5
0.0,0.0,2.2023635194367603E-5,4.188391300329235E-5
0.0,0.0,9.212840211142026E-5,9.717405305932454E-6
0.0,0.0,1.313328539825868E-4,9.065218024465367E-5
0.0,0.0,2.578731552108089E-6,1.4890833678818074E-4
0.0,0.0,8.818239513892329E-6,1.947045683972275E-6
0.0,0.0,2.3992375825691545E-5,1.1034934427665403E-5
0.0,0.0,3.939575824696368E-5,1.0272310803121184E-4
0.0,0.0,2.9034702894354896E-5,3.494894803194846E-5
0.0,0.0,7.66802995171445E-5,5.605624429921379E-5
0.0,0.0,2.945487891522211E-7,1.7237332657124632E-7
0.0,0.0,9.089975669811886E-5,1.1967888087027685E-5
0.0,0.0,3.674229664181197E-5,5.347657935589939E-5
0.0,0.0,5.7215929465516434E-5,4.427667450957072E-5
0.0,0.0,1.0852465826189315E-5,1.5603537947783555E-4
0.0,0.0,7.9830978835598E-5,1.4120928722390638E-5
0.0,0.0,9.586823752995901E-5,1.0283411334830295E-5
0.0,0.0,9.658445859432702E-6,6.420880670988518E-5
0.0,0.0,2.0755408018910244E-5,2.6675686994783758E-5
0.0,0.0,1.0181318712076502E-5,8.921037206171088E-5
0.0,0.0,1.3608661106517223E-4,1.0129169918376261E-4
0.0,0.0,6.480847353801347E-5,1.5216867814981215E-4
0.0,0.0,5.0030559148119645E-5,1.89601465877594E-4
0.0,0.0,4.556850169141106E-6,8.730785635489857E-6
0.0,0.0,2.2582883179677982E-5,1.515691892657808E-4
0.0,0.0,3.800054143401017E-5,2.7950509849942025E-5
0.0,0.0,3.375013916473611E-6,1.5744968930528699E-6
0.0,0.0,5.351451670413714E-5,8.786978588856593E-5
0.0,0.0,1.020317753990288E-6,1.482431497311722E-4
0.0,0.0,3.838938105751729E-6,1.1231382633835968E-4
0.0,0.0,1.507326545830606E-4,7.771952297467145E-5
0.0,0.0,4.336505361731668E-5,7.280950067732487E-7
0.0,0.0,6.374611535916166E-5,6.126485856083998E-5
0.0,0.0,7.942953588178465E-6,1.1165317061360508E-5
0.0,0.0,4.8810171950231765E-5,1.1188987719549221E-4
0.0,0.0,6.990588588926427E-5,1.541653821823586E-4
0.0,0.0,7.921527202734067E-5,2.1044936062941858E-4
0.0,0.0,6.31956955427509E-5,1.0776413020461509E-5
0.0,0.0,4.055138372965655E-6,1.0398043791972898E-4
0.0,0.0,7.826181411584143E-5,5.579226248978531E-5
0.0,0.0,4.918644712753759E-5,4.081450280291712E-6
0.0,0.0,3.925789811506389E-5,3.9482164512874114E-5
0.0,0.0,6.141057128262705E-6,8.075161892212223E-6
0.0,0.0,2.5999212025545714E-5,7.340690123850706E-5
0.0,0.0,1.4163696022186433E-5,2.8228692143935995E-5
0.0,0.0,9.40042892993958E-5,2.245449866197649E-5
0.0,0.0,3.009859763848461E-5,1.5455036953443763E-4
0.0,0.0,4.504665811766866E-6,1.1845239886659937E-6
0.0,0.0,5.585470262092906E-5,2.1628476700797674E-4
0.0,0.0,6.10053043507786E-5,1.0529085080119362E-4
0.0,0.0,3.589975507453978E-5,1.1211646632652442E-5
0.0,0.0,1.0836276930521373E-4,7.822085359448866E-5
0.0,0.0,8.24756445766657E-5,1.348692976192966E-4
0.0,0.0,5.6177819820534804E-5,9.372099588025218E-5
0.0,0.0,4.1945675684739096E-5,4.709661993791835E-5
0.0,0.0,5.234270895444286E-6,1.218729842468036E-5
0.0,0.0,1.4365501630353618E-5,2.4544262629794538E-6
0.0,0.0,2.2493617089232777E-7,1.3435097456592597E-7
0.0,0.0,3.357188085956794E-5,5.4189156842377586E-5
0.0,0.0,4.39300007265282E-5,1.0959901818740581E-4
0.0,0.0,6.988654227293484E-5,1.2988363938316796E-4
0.0,0.0,1.926472401635964E-5,7.563899520359802E-5
0.0,0.0,2.9515068905525523E-5,5.226140044251533E-5
0.0,0.0,1.420817968345029E-4,1.948825509694256E-4
0.0,0.0,1.3470312504371715E-5,1.332980975395333E-5
0.0,0.0,5.6706315889230886E-5,2.1381624988733036E-5
0.0,0.0,8.814186995930897E-7,3.7195667984666023E-7
0.0,0.0,9.035326207303493E-7,6.665342364179572E-5
0.0,0.0,2.703385857493478E-5,1.5934657875466106E-5
0.0,0.0,5.4026950540616366E-5,3.549088957423687E-5
0.0,0.0,1.1722457905393741E-4,1.8313377187226503E-4
0.0,0.0,1.933053041712933E-5,6.336936316363803E-5
0.0,0.0,5.273155252036909E-5,5.2467257453838567E-5
0.0,0.0,9.121666486955141E-5,1.3898707160737045E-4
0.0,0.0,3.344747412430298E-5,8.045793831208113E-6
0.0,0.0,1.2567720005941162E-4,1.7454083957019196E-5
0.0,0.0,7.999936000563727E-6,3.137379443862661E-5
0.0,0.0,5.530625049508336E-5,8.067141256311922E-5
0.0,0.0,7.4130376233462E-6,8.109751853630215E-6
0.0,0.0,2.7422435407738116E-5,1.1905926639794765E-4
0.0,0.0,6.860936217895009E-5,6.462342342821276E-5
0.0,0.0,5.613124057843809E-7,1.732240030051481E-5
0.0,0.0,9.230241560986251E-5,2.0135181409931883E-5
0.0,0.0,8.534004711075931E-5,7.201120829142801E-5
0.0,0.0,3.3801623923310285E-5,5.464022189118029E-5
0.0,0.0,6.242358513468457E-5,2.114445950568549E-4
0.0,0.0,9.575089646253966E-6,1.5583978551990245E-5
0.0,0.0,1.1896373563419523E-6,3.0223683398204832E-6
0.0,0.0,3.57774234136376E-7,1.5048205183833663E-7
0.0,0.0,6.261718230175591E-7,4.6344531086047257E-7
0.0,0.0,6.425057060554306E-5,9.349736810767309E-5
0.0,0.0,5.066401502539244E-5,4.0938493820992304E-5
0.0,0.0,1.2824871976661842E-5,5.8568145807444E-5
0.0,0.0,9.924498742910818E-5,8.110872026115361E-5
0.0,0.0,2.1619702228486793E-5,3.089849530702208E-5
0.0,0.0,1.0442130484723223E-5,1.1625127430403257E-5
0.0,0.0,6.785198559450782E-5,3.9963565375737936E-5
0.0,0.0,1.0541281903433216E-4,9.816192052633578E-5
0.0,0.0,1.1620619686358575E-5,1.8916527471323906E-4
0.0,0.0,1.3105477026909527E-5,1.3400016349663372E-4
0.0,0.0,7.230297224452065E-5,1.676724862805611E-4
0.0,0.0,1.2155422310713624E-5,1.8724238377516733E-5
0.0,0.0,4.495574276678748E-5,2.4096191543331497E-5
0.0,0.0,5.63004371242782E-5,1.5660404807508246E-4
0.0,0.0,1.7171458664960902E-4,1.0701615517282901E-5
0.0,0.0,3.561767615652632E-6,8.320915904354223E-5
